timestamps,data,event,trial
2224.6388479992747,,goCue_start_time,171
2224.7939199991524,1.0,right_lick_time,171
2224.9761919993907,1.0,right_lick_time,171
2232.099583999254,1.0,right_lick_time,172
2232.2722559999675,1.0,right_lick_time,172
2239.7376639992,,goCue_start_time,172
2239.8971519991755,1.0,right_lick_time,172
2240.0837119994685,1.0,right_lick_time,172
2249.1378239998594,1.0,right_lick_time,173
2251.153823999688,,goCue_start_time,173
2251.5040639992803,1.0,right_lick_time,173
2251.729375999421,1.0,right_lick_time,173
2252.1760639995337,1.0,right_lick_time,173
2254.69734399952,1.0,right_lick_time,174
2259.4887039996684,,goCue_start_time,174
2259.6094399997965,1.0,right_lick_time,174
2259.611999999732,1.0,right_reward_delivery_time,174
2259.7872319994494,1.0,right_lick_time,174
2259.91715199966,1.0,right_lick_time,174
2260.06684799958,1.0,right_lick_time,174
2260.202304000035,1.0,right_lick_time,174
2260.3726079994813,1.0,right_lick_time,174
2260.5399679997936,1.0,right_lick_time,174
2260.6961599998176,1.0,right_lick_time,174
2260.8628799999133,1.0,right_lick_time,174
2261.010175999254,1.0,right_lick_time,174
2261.1454719994217,1.0,right_lick_time,174
2261.3560319999233,1.0,right_lick_time,174
2261.5144959995523,1.0,right_lick_time,174
2261.6807359997183,1.0,right_lick_time,175
2261.8398079993203,1.0,right_lick_time,175
2261.997791999951,1.0,right_lick_time,175
2262.320063999854,1.0,right_lick_time,175
2262.5515519995242,1.0,right_lick_time,175
2262.9218879994005,1.0,right_lick_time,175
2263.083359999582,1.0,right_lick_time,175
2263.2625919999555,1.0,right_lick_time,175
2263.460639999248,1.0,right_lick_time,175
2265.322271999903,1.0,right_lick_time,175
2265.4975359998643,1.0,right_lick_time,175
2265.6748479995877,1.0,right_lick_time,175
2265.8496319996193,1.0,right_lick_time,175
2265.8715519998223,1.0,right_lick_time,175
2266.0361599996686,1.0,right_lick_time,175
2266.1976319998503,1.0,right_lick_time,175
2266.383071999997,1.0,right_lick_time,175
2266.584799999371,1.0,right_lick_time,175
2267.082688000053,1.0,right_lick_time,175
2267.23996799998,1.0,right_lick_time,175
2267.401855999604,1.0,right_lick_time,175
2269.363136,1.0,right_lick_time,175
2269.5387519998476,1.0,right_lick_time,175
2270.3393599996343,1.0,right_lick_time,175
2270.9091839995235,1.0,right_lick_time,175
2271.090463999659,1.0,right_lick_time,175
2271.566239999607,1.0,right_lick_time,175
2271.718111999333,1.0,right_lick_time,175
2273.787647999823,1.0,right_lick_time,175
2274.1299519995227,1.0,right_lick_time,175
2274.2584639992565,1.0,right_lick_time,175
2276.392095999792,1.0,right_lick_time,175
2282.9747519996017,,goCue_start_time,175
