start_time,stop_time,animal_response,rewarded_historyL,rewarded_historyR,delay_start_time,goCue_start_time,reward_outcome_time,bait_left,bait_right,base_reward_probability_sum,reward_probabilityL,reward_probabilityR,reward_random_number_left,reward_random_number_right,left_valve_open_time,right_valve_open_time,block_beta,block_min,block_max,min_reward_each_block,delay_beta,delay_min,delay_max,delay_duration,ITI_beta,ITI_min,ITI_max,ITI_duration,response_duration,reward_consumption_duration,reward_delay,auto_waterL,auto_waterR,laser_on_trial,laser_wavelength,laser_location,laser_1_power,laser_2_power,laser_on_probability,laser_duration,laser_condition,laser_condition_probability,laser_start,laser_start_offset,laser_end,laser_end_offset,laser_protocol,laser_frequency,laser_rampingdown,laser_pulse_duration,session_wide_control,fraction_of_session,session_start_with,session_alternation,minimum_opto_interval,auto_train_engaged,auto_train_curriculum_name,auto_train_curriculum_version,auto_train_curriculum_schema_version,auto_train_stage,auto_train_stage_overridden,lickspout_position_x,lickspout_position_y,lickspout_position_z,reward_size_left,reward_size_right
6576141.938496,6576148.715488,1.0,False,False,6576144.53248,6576146.534432,6576146.708,True,False,0.45,0.39999999999999997,0.049999999999999996,0.746542751770255,0.9134908311634059,0.053,0.057,20.0,20.0,60.0,0.0,1.0,2.0,2.0,2.0,3.0,2.0,10.0,2.5859175595981925,1.0,2.0,0.0,0,0,0,,None,,,,,None,,None,,None,,None,,,,off,0.5,on,on,0.0,False,None,None,None,None,,4651.5,14391.0,9580.0,3.0,3.0
6576148.722496,6576156.881504,1.0,False,False,6576152.698496,6576154.699328,6576154.870976,True,False,0.45,0.39999999999999997,0.049999999999999996,0.7270166371959637,0.8958253647693993,0.053,0.057,20.0,20.0,60.0,0.0,1.0,2.0,2.0,2.0,3.0,2.0,10.0,3.966699928142691,1.0,2.0,0.0,0,0,0,,None,,,,,None,,None,,None,,None,,,,off,0.5,on,on,0.0,False,None,None,None,None,,4652.0,14391.0,9579.5,3.0,3.0
6576156.887488,6576171.081504,1.0,False,False,6576166.881504,6576168.883136,6576169.068992,True,False,0.45,0.39999999999999997,0.049999999999999996,0.1417630060275179,0.25754359654302283,0.053,0.057,20.0,20.0,60.0,0.0,1.0,2.0,2.0,2.0,3.0,2.0,10.0,10.0,1.0,2.0,0.0,0,0,0,,None,,,,,None,,None,,None,,None,,,,off,0.5,on,on,0.0,False,None,None,None,None,,4652.0,14391.0,9579.5,3.0,3.0
6576171.087488,6576177.76848,1.0,False,False,6576173.281504,6576175.284352,6576175.757984,True,False,0.45,0.39999999999999997,0.049999999999999996,0.7931919447107384,0.8691848306367752,0.053,0.057,20.0,20.0,60.0,0.0,1.0,2.0,2.0,2.0,3.0,2.0,10.0,2.184271621167156,1.0,2.0,0.0,0,0,0,,None,,,,,None,,None,,None,,None,,,,off,0.5,on,on,0.0,False,None,None,None,None,,4651.5,14390.5,9579.5,3.0,3.0
6576177.777504,6576186.731488,1.0,False,False,6576182.53248,6576184.53424,6576184.720992,True,False,0.45,0.39999999999999997,0.049999999999999996,0.05563544184508651,0.44644684862595885,0.053,0.057,20.0,20.0,60.0,0.0,1.0,2.0,2.0,2.0,3.0,2.0,10.0,4.749925927476352,1.0,2.0,0.0,0,0,0,,None,,,,,None,,None,,None,,None,,,,off,0.5,on,on,0.0,False,None,None,None,None,,4652.0,14390.5,9580.0,3.0,3.0
6576186.737504,6576199.315488,1.0,False,False,6576195.098496,6576197.100416,6576197.301984,True,False,0.45,0.39999999999999997,0.049999999999999996,0.49749997750466846,0.5071157191238969,0.053,0.057,20.0,20.0,60.0,0.0,1.0,2.0,2.0,2.0,3.0,2.0,10.0,8.365596132643383,1.0,2.0,0.0,0,0,0,,None,,,,,None,,None,,None,,None,,,,off,0.5,on,on,0.0,False,None,None,None,None,,4651.5,14390.5,9579.5,3.0,3.0
6576199.322496,6576213.681504,1.0,False,False,6576209.315488,6576211.318208,6576211.672992,True,False,0.45,0.39999999999999997,0.049999999999999996,0.18804800606102245,0.8284461496961938,0.053,0.057,20.0,20.0,60.0,0.0,1.0,2.0,2.0,2.0,3.0,2.0,10.0,10.0,1.0,2.0,0.0,0,0,0,,None,,,,,None,,None,,None,,None,,,,off,0.5,on,on,0.0,False,None,None,None,None,,4651.5,14390.5,9579.5,3.0,3.0
6576213.68848,6576221.181504,1.0,False,False,6576216.94848,6576218.951136,6576219.164992,True,False,0.45,0.39999999999999997,0.049999999999999996,0.12838040720039823,0.6025894281922375,0.053,0.057,20.0,20.0,60.0,0.0,1.0,2.0,2.0,2.0,3.0,2.0,10.0,3.2519543050171094,1.0,2.0,0.0,0,0,0,,None,,,,,None,,None,,None,,None,,,,off,0.5,on,on,0.0,False,None,None,None,None,,4651.5,14391.0,9580.0,3.0,3.0
6576221.187488,6576228.74848,1.0,False,False,6576224.581504,6576226.584352,6576226.732992,True,False,0.45,0.39999999999999997,0.049999999999999996,0.16457193828866112,0.17040005602605823,0.053,0.057,20.0,20.0,60.0,0.0,1.0,2.0,2.0,2.0,3.0,2.0,10.0,3.396853861177213,1.0,2.0,0.0,0,0,0,,None,,,,,None,,None,,None,,None,,,,off,0.5,on,on,0.0,False,None,None,None,None,,4652.0,14390.5,9580.0,3.0,3.0
6576228.75648,6576236.898496,1.0,False,False,6576232.715488,6576234.716224,6576234.893984,True,False,0.45,0.39999999999999997,0.049999999999999996,0.6831316622813386,0.2617851285171696,0.053,0.057,20.0,20.0,60.0,0.0,1.0,2.0,2.0,2.0,3.0,2.0,10.0,3.9630438163721173,1.0,2.0,0.0,0,0,0,,None,,,,,None,,None,,None,,None,,,,off,0.5,on,on,0.0,False,None,None,None,None,,4652.0,14390.5,9579.5,3.0,3.0
6576236.905504,6576245.531488,1.0,False,False,6576241.331488,6576243.334112,6576243.513984,True,False,0.45,0.39999999999999997,0.049999999999999996,0.012739886340252249,0.6089925221453494,0.053,0.057,20.0,20.0,60.0,0.0,1.0,2.0,2.0,2.0,3.0,2.0,10.0,4.429368721161427,1.0,2.0,0.0,0,0,0,,None,,,,,None,,None,,None,,None,,,,off,0.5,on,on,0.0,False,None,None,None,None,,4652.5,14390.5,9580.0,3.0,3.0
